Age,Color.R,Color.G,Color.B,Color.A,Initial.Color.R,Initial.Color.G,Initial.Color.B,Initial.Color.A,Lifetime,Mass,MaterialRandom,NormalizedAge,Position.X,Position.Y,Position.Z,PreviousVelocity.X,PreviousVelocity.Y,PreviousVelocity.Z,Scale.X,Scale.Y,Scale.Z,SpriteRotation,SpriteSize.X,SpriteSize.Y,UniqueID,Velocity.X,Velocity.Y,Velocity.Z
0.5,1,1,1,1,1,1,1,1,1.443112373,1,0.226688027,0.346473366,-133.5027313,-128.0515137,84.00681305,-33.06664658,-21.96887779,-51.02277756,5,5,5,0,5,5,0,-33.06664658,-21.96887779,-51.02277756
0.5,1,1,1,1,1,1,1,1,2.250817537,1,0.58311677,0.222141504,-127.3425674,-132.3790588,87.15669251,-28.1853981,-39.9111824,-39.85666275,5,5,5,0,5,5,1,-28.1853981,-39.9111824,-39.85666275
0.5,1,1,1,1,1,1,1,1,2.35074687,1,0.820591688,0.212698355,-121.4319687,-136.6774597,90.81731415,-23.40077591,-51.1433754,-25.96952248,5,5,5,0,5,5,2,-23.40077591,-51.1433754,-25.96952248
0.5,1,1,1,1,1,1,1,1,1.437890053,1,0.717064261,0.347731739,-115.1910095,-141.7229919,95.20279694,-21.15677834,-68.5374527,-8.279187202,5,5,5,0,5,5,3,-21.15677834,-68.5374527,-8.279187202
0.5,1,1,1,1,1,1,1,1,2.786133051,1,0.405865431,0.179460198,-111.3145523,-142.9025726,98.14370728,-25.10232353,-74.66734314,4.404007912,5,5,5,0,5,5,4,-25.10232353,-74.66734314,4.404007912
0.5,1,1,1,1,1,1,1,1,1.528641462,1,0.778602004,0.32708782,-108.2780609,-140.7527313,100.1878052,-32.25577164,-68.07273865,11.83304977,5,5,5,0,5,5,5,-32.25577164,-68.07273865,11.83304977
0.5,1,1,1,1,1,1,1,1,1.693659306,1,0.700303197,0.295218766,-105.4342499,-138.6981354,102.8306808,-42.42894745,-59.25946045,21.12468147,5,5,5,0,5,5,6,-42.42894745,-59.25946045,21.12468147
0.5,1,1,1,1,1,1,1,1,2.001784325,1,0.374596477,0.249777153,-102.7938232,-136.2231598,105.1077881,-50.34277344,-50.34630966,29.94286728,5,5,5,0,5,5,7,-50.34277344,-50.34630966,29.94286728
0.5,1,1,1,1,1,1,1,1,1.563212395,1,0.940843225,0.31985417,-99.18717957,-131.4445953,106.1670074,-55.93698883,-33.88166046,35.1671257,5,5,5,0,5,5,8,-55.93698883,-33.88166046,35.1671257
0.5,1,1,1,1,1,1,1,1,1.100974798,1,0.06367147,0.454142988,-95.21807098,-125.3195724,106.8847885,-59.88679886,-13.20110893,37.45825195,5,5,5,0,5,5,9,-59.88679886,-13.20110893,37.45825195
0.5,1,1,1,1,1,1,1,1,1.879310369,1,0.450030565,0.266055048,-91.11734009,-119.2768478,107.6130981,-62.52779007,9.477787018,39.37150192,5,5,5,0,5,5,10,-62.52779007,9.477787018,39.37150192
0.5,1,1,1,1,1,1,1,1,2.09776473,1,0.320640206,0.238348946,-85.3478775,-116.5684662,105.1883316,-60.16913605,27.34792519,32.93351364,5,5,5,0,5,5,11,-60.16913605,27.34792519,32.93351364
0.5,1,1,1,1,1,1,1,1,2.103515863,1,0.52830863,0.237697273,-77.72518921,-115.4238815,100.8738861,-49.16450119,37.84447861,18.86201859,5,5,5,0,5,5,12,-49.16450119,37.84447861,18.86201859
0.5,1,1,1,1,1,1,1,1,2.276053667,1,0.585973382,0.219678476,-69.92630768,-114.8427429,96.29786682,-34.84426498,42.78917313,0.427619934,5,5,5,0,5,5,13,-34.84426498,42.78917313,0.427619934
0.5,1,1,1,1,1,1,1,1,2.58261776,1,0.032110572,0.193602011,-62.55744553,-117.430687,92.72805786,-23.06328774,37.59951401,-14.56801891,5,5,5,0,5,5,14,-23.06328774,37.59951401,-14.56801891
0.5,1,1,1,1,1,1,1,1,2.769879818,1,0.261179924,0.180513248,-55.64265823,-123.8444748,89.79490662,-10.59622383,12.13967514,-26.76320458,5,5,5,0,5,5,15,-10.59622383,12.13967514,-26.76320458
0.5,1,1,1,1,1,1,1,1,1.006586075,1,0.353653073,0.49672851,-48.84786606,-130.1391907,86.15477753,0.757752419,-12.92769527,-43.20609283,5,5,5,0,5,5,16,0.757752419,-12.92769527,-43.20609283
0.5,1,1,1,1,1,1,1,1,2.925734997,1,0.026919603,0.170897231,-41.94590759,-134.0136414,82.2796402,8.839067459,-31.19665718,-61.95480347,5,5,5,0,5,5,17,8.839067459,-31.19665718,-61.95480347
0.5,1,1,1,1,1,1,1,1,2.780554533,1,0.3665483,0.17982024,-36.55332947,-131.6940155,80.50966644,9.995029449,-22.52036285,-67.71772766,5,5,5,0,5,5,18,9.995029449,-22.52036285,-67.71772766
0.5,1,1,1,1,1,1,1,1,2.575690031,1,0.551533818,0.194122732,-31.74622345,-129.0129395,78.91231537,9.836866379,-15.4507122,-73.08017731,5,5,5,0,5,5,19,9.836866379,-15.4507122,-73.08017731
0.5,1,1,1,1,1,1,1,1,2.327525139,1,0.652313352,0.214820445,-26.92776489,-126.634758,77.29525757,8.265960693,-10.04611015,-78.63082886,5,5,5,0,5,5,20,8.265960693,-10.04611015,-78.63082886
0.5,1,1,1,1,1,1,1,1,2.543236971,1,0.224305749,0.196599841,-19.6744194,-123.1920319,78.13314056,14.26443481,3.699646473,-74.23678589,5,5,5,0,5,5,21,14.26443481,3.699646473,-74.23678589
0.5,1,1,1,1,1,1,1,1,1.364087343,1,0.355736256,0.366545439,-11.46349716,-119.1405792,79.64619446,27.50815392,20.65990448,-65.75219727,5,5,5,0,5,5,22,27.50815392,20.65990448,-65.75219727
0.5,1,1,1,1,1,1,1,1,1.51998353,1,0.00696218,0.328950942,-2.766132116,-115.2165451,81.32645416,42.69078827,37.26789093,-55.95613861,5,5,5,0,5,5,23,42.69078827,37.26789093,-55.95613861
0.5,1,1,1,1,1,1,1,1,1.588346243,1,0.184197545,0.314792812,5.131623745,-114.7685165,82.5856781,49.82312012,41.31479645,-47.78621292,5,5,5,0,5,5,24,49.82312012,41.31479645,-47.78621292
0.5,1,1,1,1,1,1,1,1,2.259861708,1,0.774422526,0.221252471,11.79634285,-115.3010483,83.62724304,55.29618073,41.68752289,-41.52997589,5,5,5,0,5,5,25,55.29618073,41.68752289,-41.52997589
0.5,1,1,1,1,1,1,1,1,2.560662746,1,0.814447522,0.195261955,19.33763313,-116.2108841,85.36458588,60.47529221,39.02533722,-32.44268799,5,5,5,0,5,5,26,60.47529221,39.02533722,-32.44268799
0.5,1,1,1,1,1,1,1,1,1.494350672,1,0.466204524,0.334593475,25.24106598,-116.1900482,90.32030487,61.28051376,40.06516266,-12.92995453,5,5,5,0,5,5,27,61.28051376,40.06516266,-12.92995453
0.5,1,1,1,1,1,1,1,1,1.271748304,1,0.949321866,0.393159568,31.134161,-115.466217,97.9418335,59.61192322,40.74810791,13.8904562,5,5,5,0,5,5,28,59.61192322,40.74810791,13.8904562
0.5,1,1,1,1,1,1,1,1,2.851953983,1,0.129285097,0.17531839,36.10555649,-115.3134995,105.328331,51.4379921,33.54616928,34.17674637,5,5,5,0,5,5,29,51.4379921,33.54616928,34.17674637
0.5,1,1,1,1,1,1,1,1,2.073487759,1,0.258226037,0.241139591,39.99978256,-119.1736603,109.6065826,42.63302231,14.66554356,46.00505066,5,5,5,0,5,5,30,42.63302231,14.66554356,46.00505066
0.5,1,1,1,1,1,1,1,1,2.503869295,1,0.74857223,0.199690938,43.88803482,-126.0071945,112.1662064,42.21598053,-9.570950508,60.14325333,5,5,5,0,5,5,31,42.21598053,-9.570950508,60.14325333
0.5,1,1,1,1,1,1,1,1,1.95356226,1,0.2227844,0.255942702,47.14391327,-131.7677155,114.3343277,38.49475861,-25.27529144,66.79941559,5,5,5,0,5,5,32,38.49475861,-25.27529144,66.79941559
0.5,1,1,1,1,1,1,1,1,1.269343615,1,0.454604268,0.393904358,50.94223023,-136.276886,115.423584,38.66692734,-37.49930191,68.06061554,5,5,5,0,5,5,33,38.66692734,-37.49930191,68.06061554
0.5,1,1,1,1,1,1,1,1,1.343860626,1,0.253301978,0.372062385,57.00639725,-138.4309387,113.0631866,46.70551682,-45.14236069,58.08993149,5,5,5,0,5,5,34,46.70551682,-45.14236069,58.08993149
0.5,1,1,1,1,1,1,1,1,1.462148666,1,0.395220518,0.341962487,62.86902237,-139.5186462,109.5735779,53.24880981,-50.91836166,45.62398911,5,5,5,0,5,5,35,53.24880981,-50.91836166,45.62398911
0.5,1,1,1,1,1,1,1,1,2.730119228,1,0.737199187,0.183142185,67.95574951,-140.2327118,106.7178574,56.48841476,-50.3007431,37.20346451,5,5,5,0,5,5,36,56.48841476,-50.3007431,37.20346451
0.5,1,1,1,1,1,1,1,1,1.716521502,1,0.264124513,0.291286767,73.44536591,-138.6099091,105.9420471,59.6387825,-43.890625,35.29587555,5,5,5,0,5,5,37,59.6387825,-43.890625,35.29587555
0.5,1,1,1,1,1,1,1,1,2.842795849,1,0.781154275,0.175883189,80.16072083,-135.2691345,106.6208038,62.90695953,-31.89831162,37.35828018,5,5,5,0,5,5,38,62.90695953,-31.89831162,37.35828018
0.5,1,1,1,1,1,1,1,1,1.835982084,1,0.335224748,0.272333801,85.72232056,-131.9043121,105.5491028,58.89440155,-20.13730049,34.64230347,5,5,5,0,5,5,39,58.89440155,-20.13730049,34.64230347
0.5,1,1,1,1,1,1,1,1,2.096790552,1,0.590715647,0.238459677,89.59287262,-128.4156647,105.631134,50.72997284,-5.167539597,38.76686096,5,5,5,0,5,5,40,50.72997284,-5.167539597,38.76686096
0.5,1,1,1,1,1,1,1,1,2.817801476,1,0.595954895,0.177443296,91.58122253,-123.5811081,106.5662537,39.12822342,13.0026083,46.31152725,5,5,5,0,5,5,41,39.12822342,13.0026083,46.31152725
0.5,1,1,1,1,1,1,1,1,2.798197269,1,0.820847154,0.17868647,93.26383209,-119.3111115,108.4999237,24.43173409,29.16119003,53.40355301,5,5,5,0,5,5,42,24.43173409,29.16119003,53.40355301
0.5,1,1,1,1,1,1,1,1,1.920860529,1,0.367087245,0.26030001,94.88458252,-116.2566605,110.5686798,10.33789539,38.09059143,59.22665787,5,5,5,0,5,5,43,10.33789539,38.09059143,59.22665787
